Player,Team,Salary,S/C,Pos,GP,G,A,P,plus_minus,PIM,PperGP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI
Logan Couture,SJS,9000000,L,C,25,13,9,22,1,10,0.88,11,16,2,6,0,0,0,2,64,1186
Jared Spurgeon,MIN,9000000,R,D,25,0,5,5,1,0,0.2,0,5,0,0,0,0,0,0,50,1309
Justin Faulk,STL,9000000,R,D,28,5,8,13,9,15,0.46,4,9,1,3,0,1,0,1,60,1465
Anze Kopitar,LAK,8000000,L,C,27,7,25,32,2,4,1.19,4,13,3,19,0,0,0,2,59,1288
Mark Stone,VGK,8000000,R,R,24,9,22,31,16,15,1.29,8,25,1,6,0,0,0,5,42,1085
Victor Hedman,TBL,8000000,L,D,26,5,21,26,8,20,1,4,10,1,16,0,0,0,0,63,1535
Charlie Coyle,BOS,8000000,R,C,24,5,3,8,-3,12,0.33,4,7,0,0,1,1,0,1,34,1017
Kyle Connor,WPG,8000000,L,L,27,12,13,25,-2,6,0.93,6,18,6,7,0,0,0,2,82,1119
Taylor Hall,BUF,8000000,L,L,26,2,14,16,-17,20,0.62,1,10,1,6,0,0,0,0,67,1155
Brayden Schenn,STL,8000000,L,C,28,12,12,24,4,11,0.86,9,18,3,6,0,0,0,0,69,1179
P.K. Subban,NJD,8000000,R,D,25,2,10,12,-4,18,0.48,1,9,1,3,0,0,0,0,59,1347
Ryan Johansen,NSH,8000000,R,C,20,2,6,8,-4,10,0.4,2,4,0,4,0,0,0,0,32,1075
Oliver Ekman-Larsson,ARI,8000000,L,D,18,0,11,11,-9,12,0.61,0,6,0,5,0,0,0,0,36,1195
Ryan Suter,MIN,8000000,L,D,26,0,8,8,4,8,0.31,0,7,0,1,0,0,0,0,45,1354
Zach Parise,MIN,8000000,L,L,25,3,9,12,3,6,0.48,3,10,0,2,0,0,0,1,54,957
Jake Muzzin,TOR,8000000,L,D,28,2,12,14,7,21,0.5,1,12,0,1,1,1,0,0,55,1283
John Carlson,WSH,8000000,R,D,27,6,18,24,-4,6,0.89,3,16,3,8,0,0,0,1,72,1444
Kevin Hayes,PHI,7500000,L,C,25,9,11,20,2,10,0.8,7,15,2,5,0,0,1,2,66,1122
Kris Letang,PIT,7250000,R,D,26,5,14,19,8,16,0.73,4,13,1,6,0,0,1,2,63,1466
Marc-Edouard Vlasic,SJS,7250000,L,D,25,1,3,4,-6,2,0.16,1,4,0,0,0,0,0,0,22,1149
Claude Giroux,PHI,7200000,R,C,23,5,14,19,5,10,0.83,5,13,0,6,0,0,0,1,49,1085
Patrick Kane,CHI,7000000,L,R,29,11,30,41,8,12,1.41,9,27,2,14,0,0,0,1,103,1323
James van Riemsdyk,PHI,7000000,L,L,25,12,16,28,8,10,1.12,5,20,7,8,0,0,0,0,60,1004
